Index,Text,Sentiment
1,great service and good product,1
2,slow delivery and bad item,0
3,excellent value and good quality,1
4,bad product broken and awful,0
5,amazing item and great delivery,1
6,this item was a waste of time,0
7,fast service and quality product,1
8,the quality was very bad,0
9,i love this amazing service,1
10,avoid this product too slow,0
11,everything was perfect and great,1
12,my item was broken very awful,0
13,the staff was friendly and good,1
14,never buy this slow product,0
15,five stars amazing and perfect,1
16,the food was bad very awful,0
17,i will be back for service,1
18,that was a bad mistake,0
19,such a pleasant and good experience,1
20,not worth the price at all,0
